label,pattern,replace
anoplura,Eulinognathus elateri,
anoplura,Eulinognathus eremodipodis,
anoplura,Eulinognathus euchoreutae,
anoplura,Eulinognathus euchoreutei,Eulinognathus euchoreutae
anoplura,Eulinognathus gentilis,
anoplura,Eulinognathus hepperi,
anoplura,Eulinognathus hesperius,
anoplura,Eulinognathus hilli,
anoplura,Eulinognathus hypogeomydis,
anoplura,Eulinognathus inermis,
anoplura,Eulinognathus jaculi,
anoplura,Eulinognathus lawrensis,
anoplura,Eulinognathus lophiomydis,
anoplura,Eulinognathus maurii,Cuyana maurii
anoplura,Eulinognathus parvus,Lagidiophthirus parvus
anoplura,Eulinognathus patagonicus,
anoplura,Eulinognathus pygerethmi,
anoplura,Eulinognathus scirtopodae,
anoplura,Eulinognathus tokmaki,
anoplura,Eulinognathus torquatus,
anoplura,Eulinognathus wernecki,
anoplura,Fahrenholzia boleni,
anoplura,Fahrenholzia ehrlichi,
anoplura,Fahrenholzia fahrenholzi,Fahrenholzia pinnata
anoplura,Fahrenholzia fairchildi,
anoplura,Fahrenholzia ferrisi,
anoplura,Fahrenholzia hertigi,
anoplura,Fahrenholzia microcephala,
anoplura,Fahrenholzia pinnata,
anoplura,Fahrenholzia reducta,
anoplura,Fahrenholzia schwartzi,
anoplura,Fahrenholzia texana,
anoplura,Fahrenholzia tribulosa,
anoplura,Fahrenholzia tribulosa reducta,Fahrenholzia reducta
anoplura,Fahrenholzia tribulosa tribulosa,Fahrenholzia tribulosa
anoplura,Fahrenholzia tribulosa zacatecae,Fahrenholzia zacatecae
anoplura,Fahrenholzia zacatecae,
anoplura,Ferrisella barrerae,
anoplura,Ferrisella disgrega,Hoplopleura disgrega
anoplura,Ferrisella emarginata,Paradoxophthirus emarginata
anoplura,Ferrisella malaysiana,Hoplopleura malaysiana
anoplura,Ferrisella ochotonae,Hoplopleura ochotonae
anoplura,Galeophthirus caviae,
anoplura,Haematopinoides squamosus,
anoplura,Haematopinus acanthopus,Hoplopleura acanthopus
anoplura,Haematopinus acuticeps,
anoplura,Haematopinus adventicus,Haematopinus suis
anoplura,Haematopinus affinis,Hoplopleura affinis
anoplura,Haematopinus albidus,Pedicinus albidus
anoplura,Haematopinus annulatus,Echinophthirius horridus
anoplura,Haematopinus antennatus,Neohaematopinus sciurinus
anoplura,Haematopinus aperis,Haematopinus apri
anoplura,Haematopinus apri,
anoplura,Haematopinus asini,
anoplura,Haematopinus asini asini,Haematopinus asini
anoplura,Haematopinus asini burchellis,Haematopinus asini
anoplura,Haematopinus asini elegans,Haematopinus asini
anoplura,Haematopinus asini macrocephalus,Haematopinus asini
anoplura,Haematopinus asini minor,Haematopinus asini
anoplura,Haematopinus aulacodi,Scipio aulacodi
anoplura,Haematopinus bicolor,Linognathus setosus
anoplura,Haematopinus breviceps,Linognathus breviceps
anoplura,Haematopinus brevicornis,Linognathus brevicornis
anoplura,Haematopinus breviculus,
anoplura,Haematopinus brevipes,Haematopinus eurysternus
anoplura,Haematopinus bufali,
anoplura,Haematopinus bufali bufali,Haematopinus bufali
anoplura,Haematopinus bufali europaei,Haematopinus tuberculatus
anoplura,Haematopinus bufali punctatus,Haematopinus tuberculatus
anoplura,Haematopinus callorhini,Antarctophthirus callorhini
anoplura,Haematopinus cameli,Microthoracius cameli
anoplura,Haematopinus cervicaprae,Linognathus cervicaprae
anoplura,Haematopinus channabasavannai,
anoplura,Haematopinus chinensis,Haematopinus suis
anoplura,Haematopinus clavicornis,Pediculus clavicornis
anoplura,Haematopinus columbianus,Linognathoides laeviusculus
anoplura,Haematopinus crassicornis,Solenopotes burmeisteri
anoplura,Haematopinus Echinophthirius setosus,Echinophthirius horridus
anoplura,Haematopinus elegans,Haematopinus asini
anoplura,Haematopinus equi,Haematopinus asini
anoplura,Haematopinus erraticus,Hoplopleura erratica
anoplura,Haematopinus eurysternus,
anoplura,Haematopinus forficulus,Linognathus stenopsis
anoplura,Haematopinus gorgonis,
anoplura,Haematopinus hesperomydis,Hoplopleura hesperomydis
anoplura,Haematopinus hispidus,Hoplopleura hispida
anoplura,Haematopinus incisus,Haematopinus latus
anoplura,Haematopinus irritans,Haematopinus suis
anoplura,Haematopinus jeannereti,
anoplura,Haematopinus laeviusculus,Linognathoides laeviusculus
anoplura,Haematopinus latus,
anoplura,Haematopinus latus latissimus,Haematopinus latus
anoplura,Haematopinus leptocephalus,Prolinognathus leptocephalus
anoplura,Haematopinus leucophaeus,Schizophthirus pleurophaeus
anoplura,Haematopinus Linognathus piliferus,Linognathus setosus
anoplura,Haematopinus Linognathus praelongiceps,Microthoracius praelongiceps
anoplura,Haematopinus Linognathus squamulatus,Ratemia squamulata
anoplura,Haematopinus longus,
anoplura,Haematopinus ludwigi,
anoplura,Haematopinus lyriocephalus,Haemodipsus lyriocephalus
anoplura,Haematopinus macrocephalus,Haematopinus asini
anoplura,Haematopinus meinertzhageni,
anoplura,Haematopinus microcepahlus,Linognathus pedalis
anoplura,Haematopinus minor,Haematopinus asini
anoplura,Haematopinus montanus,Linognathoides laeviusculus
anoplura,Haematopinus neumanni,Haematopinus bufali
anoplura,Haematopinus nigricantis,
anoplura,Haematopinus notophallus,Hybophthirus notophallus
anoplura,Haematopinus obtusus,Pedicinus obtusus
anoplura,Haematopinus oliveri,
anoplura,Haematopinus oryx,
anoplura,Haematopinus oviformis,Linognathus oviformis
anoplura,Haematopinus ovillus,Linognathus ovillus
anoplura,Haematopinus ovis,Linognathus pedalis
anoplura,Haematopinus palpebrae,Haematopinus eurysternus
anoplura,Haematopinus palpebrae,Haematopinus quadripertusus
anoplura,Haematopinus parviprocursus,Haematopinus quadripertusus
anoplura,Haematopinus pedalis,Linognathus pedalis
anoplura,Haematopinus peristictus,Haematopinus latus
anoplura,Haematopinus peristictus,Haematopinus phacochoeri
anoplura,Haematopinus phacochoeri,
anoplura,Haematopinus phthiropsis,Haematopinus bufali
anoplura,Haematopinus piliferus,Linognathus setosus
anoplura,Haematopinus Polyplax aculeatus,Eulinognathus aculeatus
anoplura,Haematopinus Polyplax bidentatus,Hoplopleura bidentata
anoplura,Haematopinus Polyplax echinatus,Neohaematopinus echinatus
anoplura,Haematopinus Polyplax longulus,Hoplopleura longula
anoplura,Haematopinus Polyplax lyriocephalus,Haemodipsus lyriocephalus
anoplura,Haematopinus Polyplax maniculatus,Hoplopleura maniculata
anoplura,Haematopinus Polyplax pectinifer,Linognathoides pectinifer
anoplura,Haematopinus Polyplax quadridentatus,Hoplopleura quadridentata
anoplura,Haematopinus Polyplax spiniger,Polyplax spinigera
anoplura,Haematopinus Polyplax spiniger reclinatus,Polyplax reclinata
anoplura,Haematopinus Polyplax spinulosus,Polyplax spinulosa
anoplura,Haematopinus Polyplax stephensi,Polyplax stephensi
anoplura,Haematopinus Polyplax ventricosus,Haemodipsus ventricosus
anoplura,Haematopinus praecisus,Hoplopleura neumanni
anoplura,Haematopinus praecisus,Polyplax praecisa
anoplura,Haematopinus praecitus,Hoplopleura neumanni
anoplura,Haematopinus praecitus,Polyplax praecisa
anoplura,Haematopinus punctatus,Haematopinus tuberculatus
anoplura,Haematopinus quadripertusus,
anoplura,Haematopinus reclinatus,Polyplax reclinata
anoplura,Haematopinus rupicaprae,Linognathus stenopsis
anoplura,Haematopinus saccatus,Linognathus saccatus
anoplura,Haematopinus sciuropteri,Neohaematopinus sciuropteri
anoplura,Haematopinus serratus,Polyplax serrata
anoplura,Haematopinus setosus,Echinophthirius horridus
anoplura,Haematopinus setosus,Linognathoides pectinifer
anoplura,Haematopinus sphaerocephalus,Enderleinellus nitzschi
anoplura,Haematopinus spiculifer,Hoplopleura spiculifer
anoplura,Haematopinus spiniger,Polyplax spinigera
anoplura,Haematopinus spinulosus,Polyplax spinulosa
anoplura,Haematopinus stenopsis,Linognathus stenopsis
anoplura,Haematopinus stephensi,Polyplax stephensi
anoplura,Haematopinus suis,
anoplura,Haematopinus suis adventicus,Haematopinus suis
anoplura,Haematopinus suis chinensis,Haematopinus suis
anoplura,Haematopinus suis germanus,Haematopinus suis
anoplura,Haematopinus suis sardinensis,Haematopinus suis
anoplura,Haematopinus suis suis,Haematopinus suis
anoplura,Haematopinus suturalis,Enderleinellus suturalis
anoplura,Haematopinus taurotragi,
