label,pattern,replace,rank
anoplura,enderleinellus longiceps,,species
anoplura,enderleinellus malaysianus,,species
anoplura,enderleinellus marmotae,,species
anoplura,enderleinellus menetensis,,species
anoplura,enderleinellus mexicanus,,species
anoplura,enderleinellus microsciuri,,species
anoplura,enderleinellus minutus,Werneckia minuta,species
anoplura,enderleinellus nannosciuri,,species
anoplura,enderleinellus nayaritensis,,species
anoplura,enderleinellus nishimarui,,species
anoplura,enderleinellus nitzschi,,species
anoplura,enderleinellus oculatus,,species
anoplura,enderleinellus osborni,,species
anoplura,enderleinellus paralongiceps,,species
anoplura,enderleinellus paraxeri,Werneckia paraxeri,species
anoplura,enderleinellus platyspicatus,,species
anoplura,enderleinellus pratti,,species
anoplura,enderleinellus propinquus,,species
anoplura,enderleinellus puvensis,,species
anoplura,enderleinellus replicates,,species
anoplura,enderleinellus sciurotamiasis,,species
anoplura,enderleinellus spaerocephalus,Enderleinellus nitzschi,species
anoplura,enderleinellus sphaerocephalus,Enderleinellus nitzschi,species
anoplura,enderleinellus suturalis,,species
anoplura,enderleinellus suturalis occidentalis,Enderleinellus suturalis,species
anoplura,enderleinellus tamiasciuri,,species
anoplura,enderleinellus tamiasis,,species
anoplura,enderleinellus tamiopsis,,species
anoplura,enderleinellus uncinatus,Microphthirus uncinatus,species
anoplura,enderleinellus urosciuri,,species
anoplura,enderleinellus venezuelae,,species
anoplura,enderleinellus zonatus,,species
anoplura,eremophthirius biseriatus,Polyplax biseriata,species
anoplura,eremophthirius ellobii,Polyplax ellobii,species
anoplura,eremophthirius eropepli,Polyplax eropepli,species
anoplura,eremophthirius gerbilli,Polyplax gerbilli,species
anoplura,eremophthirius praecisa,Polyplax praecisa,species
anoplura,eremophthirius stephensi,Polyplax stephensi,species
anoplura,eremophthirius subtaterae,Polyplax subtaterae,species
anoplura,eremophthirius tarsomydis,Polyplax tarsomydis,species
anoplura,eremophthirius taterae,Polyplax taterae,species
anoplura,eremophthirius werneri,Polyplax werneri,species
anoplura,euendelerleinellus platyspicatus,Enderleinellus platyspicatus,species
anoplura,euenderleinellus larisei,Enderleinellus larisci,species
anoplura,euenderleinellus menetensis,Enderleinellus menetensis,species
anoplura,euenderleinellus zonatus,Enderleinellus zonatus,species
anoplura,euhaematopinus abnormis,Haematopinoides squamosus,species
anoplura,euhoplopleura trispinosa,Hoplopleura trispinosa,species
anoplura,eulinognathus aculeatus,,species
anoplura,eulinognathus alactaguli,,species
anoplura,eulinognathus allactagae,,species
anoplura,eulinognathus americanus,,species
anoplura,eulinognathus biuncatus,,species
anoplura,eulinognathus bolivianus,,species
anoplura,eulinognathus cardiocranius,,species
anoplura,eulinognathus caviae,Galeophthirus caviae,species
anoplura,eulinognathus crucuformis,,species
anoplura,eulinognathus denticulatus,,species
anoplura,eulinognathus denticulatus denticulatus,Eulinognathus denticulatus,species
anoplura,eulinognathus denticulatus surdasteri,Eulinognathus denticulatus,species
anoplura,eulinognathus dipodis,,species
anoplura,eulinognathus elateri,,species
anoplura,eulinognathus eremodipodis,,species
anoplura,eulinognathus euchoreutae,,species
anoplura,eulinognathus euchoreutei,Eulinognathus euchoreutae,species
anoplura,eulinognathus gentilis,,species
anoplura,eulinognathus hepperi,,species
anoplura,eulinognathus hesperius,,species
anoplura,eulinognathus hilli,,species
anoplura,eulinognathus hypogeomydis,,species
anoplura,eulinognathus inermis,,species
anoplura,eulinognathus jaculi,,species
anoplura,eulinognathus lawrensis,,species
anoplura,eulinognathus lophiomydis,,species
anoplura,eulinognathus maurii,Cuyana maurii,species
anoplura,eulinognathus parvus,Lagidiophthirus parvus,species
anoplura,eulinognathus patagonicus,,species
anoplura,eulinognathus pygerethmi,,species
anoplura,eulinognathus scirtopodae,,species
anoplura,eulinognathus tokmaki,,species
anoplura,eulinognathus torquatus,,species
anoplura,eulinognathus wernecki,,species
anoplura,fahrenholzia boleni,,species
anoplura,fahrenholzia ehrlichi,,species
anoplura,fahrenholzia fahrenholzi,Fahrenholzia pinnata,species
anoplura,fahrenholzia fairchildi,,species
anoplura,fahrenholzia ferrisi,,species
anoplura,fahrenholzia hertigi,,species
anoplura,fahrenholzia microcephala,,species
anoplura,fahrenholzia pinnata,,species
anoplura,fahrenholzia reducta,,species
anoplura,fahrenholzia schwartzi,,species
anoplura,fahrenholzia texana,,species
anoplura,fahrenholzia tribulosa,,species
anoplura,fahrenholzia tribulosa reducta,Fahrenholzia reducta,species
anoplura,fahrenholzia tribulosa tribulosa,Fahrenholzia tribulosa,species
anoplura,fahrenholzia tribulosa zacatecae,Fahrenholzia zacatecae,species
anoplura,fahrenholzia zacatecae,,species
anoplura,ferrisella barrerae,,species
anoplura,ferrisella disgrega,Hoplopleura disgrega,species
anoplura,ferrisella emarginata,Paradoxophthirus emarginata,species
anoplura,ferrisella malaysiana,Hoplopleura malaysiana,species
anoplura,ferrisella ochotonae,Hoplopleura ochotonae,species
anoplura,galeophthirus caviae,,species
anoplura,haematopinoides squamosus,,species
anoplura,haematopinus acanthopus,Hoplopleura acanthopus,species
anoplura,haematopinus acuticeps,,species
anoplura,haematopinus adventicus,Haematopinus suis,species
anoplura,haematopinus affinis,Hoplopleura affinis,species
anoplura,haematopinus albidus,Pedicinus albidus,species
anoplura,haematopinus annulatus,Echinophthirius horridus,species
anoplura,haematopinus antennatus,Neohaematopinus sciurinus,species
anoplura,haematopinus aperis,Haematopinus apri,species
anoplura,haematopinus apri,,species
anoplura,haematopinus asini,,species
anoplura,haematopinus asini asini,Haematopinus asini,species
anoplura,haematopinus asini burchellis,Haematopinus asini,species
anoplura,haematopinus asini elegans,Haematopinus asini,species
anoplura,haematopinus asini macrocephalus,Haematopinus asini,species
anoplura,haematopinus asini minor,Haematopinus asini,species
anoplura,haematopinus aulacodi,Scipio aulacodi,species
anoplura,haematopinus bicolor,Linognathus setosus,species
anoplura,haematopinus breviceps,Linognathus breviceps,species
anoplura,haematopinus brevicornis,Linognathus brevicornis,species
anoplura,haematopinus breviculus,,species
anoplura,haematopinus brevipes,Haematopinus eurysternus,species
anoplura,haematopinus bufali,,species
anoplura,haematopinus bufali bufali,Haematopinus bufali,species
anoplura,haematopinus bufali europaei,Haematopinus tuberculatus,species
anoplura,haematopinus bufali punctatus,Haematopinus tuberculatus,species
anoplura,haematopinus callorhini,Antarctophthirus callorhini,species
anoplura,haematopinus cameli,Microthoracius cameli,species
anoplura,haematopinus cervicaprae,Linognathus cervicaprae,species
anoplura,haematopinus channabasavannai,,species
anoplura,haematopinus chinensis,Haematopinus suis,species
anoplura,haematopinus clavicornis,Pediculus clavicornis,species
anoplura,haematopinus columbianus,Linognathoides laeviusculus,species
anoplura,haematopinus crassicornis,Solenopotes burmeisteri,species
anoplura,haematopinus echinophthirius setosus,Echinophthirius horridus,species
anoplura,haematopinus elegans,Haematopinus asini,species
anoplura,haematopinus equi,Haematopinus asini,species
anoplura,haematopinus erraticus,Hoplopleura erratica,species
anoplura,haematopinus eurysternus,,species
anoplura,haematopinus forficulus,Linognathus stenopsis,species
anoplura,haematopinus gorgonis,,species
anoplura,haematopinus hesperomydis,Hoplopleura hesperomydis,species
anoplura,haematopinus hispidus,Hoplopleura hispida,species
anoplura,haematopinus incisus,Haematopinus latus,species
anoplura,haematopinus irritans,Haematopinus suis,species
anoplura,haematopinus jeannereti,,species
anoplura,haematopinus laeviusculus,Linognathoides laeviusculus,species
anoplura,haematopinus latus,,species
anoplura,haematopinus latus latissimus,Haematopinus latus,species
anoplura,haematopinus leptocephalus,Prolinognathus leptocephalus,species
anoplura,haematopinus leucophaeus,Schizophthirus pleurophaeus,species
anoplura,haematopinus linognathus piliferus,Linognathus setosus,species
anoplura,haematopinus linognathus praelongiceps,Microthoracius praelongiceps,species
anoplura,haematopinus linognathus squamulatus,Ratemia squamulata,species
anoplura,haematopinus longus,,species
anoplura,haematopinus ludwigi,,species
anoplura,haematopinus lyriocephalus,Haemodipsus lyriocephalus,species
anoplura,haematopinus macrocephalus,Haematopinus asini,species
anoplura,haematopinus meinertzhageni,,species
anoplura,haematopinus microcepahlus,Linognathus pedalis,species
anoplura,haematopinus minor,Haematopinus asini,species
anoplura,haematopinus montanus,Linognathoides laeviusculus,species
anoplura,haematopinus neumanni,Haematopinus bufali,species
anoplura,haematopinus nigricantis,,species
anoplura,haematopinus notophallus,Hybophthirus notophallus,species
anoplura,haematopinus obtusus,Pedicinus obtusus,species
anoplura,haematopinus oliveri,,species
anoplura,haematopinus oryx,,species
anoplura,haematopinus oviformis,Linognathus oviformis,species
anoplura,haematopinus ovillus,Linognathus ovillus,species
anoplura,haematopinus ovis,Linognathus pedalis,species
anoplura,haematopinus palpebrae,Haematopinus quadripertusus,species
anoplura,haematopinus parviprocursus,Haematopinus quadripertusus,species
anoplura,haematopinus pedalis,Linognathus pedalis,species
anoplura,haematopinus peristictus,Haematopinus phacochoeri,species
anoplura,haematopinus phacochoeri,,species
anoplura,haematopinus phthiropsis,Haematopinus bufali,species
anoplura,haematopinus piliferus,Linognathus setosus,species
anoplura,haematopinus polyplax aculeatus,Eulinognathus aculeatus,species
anoplura,haematopinus polyplax bidentatus,Hoplopleura bidentata,species
anoplura,haematopinus polyplax echinatus,Neohaematopinus echinatus,species
anoplura,haematopinus polyplax longulus,Hoplopleura longula,species
anoplura,haematopinus polyplax lyriocephalus,Haemodipsus lyriocephalus,species
anoplura,haematopinus polyplax maniculatus,Hoplopleura maniculata,species
anoplura,haematopinus polyplax pectinifer,Linognathoides pectinifer,species
anoplura,haematopinus polyplax quadridentatus,Hoplopleura quadridentata,species
anoplura,haematopinus polyplax spiniger,Polyplax spinigera,species
anoplura,haematopinus polyplax spiniger reclinatus,Polyplax reclinata,species
anoplura,haematopinus polyplax spinulosus,Polyplax spinulosa,species
anoplura,haematopinus polyplax stephensi,Polyplax stephensi,species
anoplura,haematopinus polyplax ventricosus,Haemodipsus ventricosus,species
anoplura,haematopinus praecisus,Polyplax praecisa,species
anoplura,haematopinus praecitus,Polyplax praecisa,species
anoplura,haematopinus punctatus,Haematopinus tuberculatus,species
anoplura,haematopinus quadripertusus,,species
anoplura,haematopinus reclinatus,Polyplax reclinata,species
anoplura,haematopinus rupicaprae,Linognathus stenopsis,species
anoplura,haematopinus saccatus,Linognathus saccatus,species
anoplura,haematopinus sciuropteri,Neohaematopinus sciuropteri,species
anoplura,haematopinus serratus,Polyplax serrata,species
anoplura,haematopinus setosus,Linognathoides pectinifer,species
anoplura,haematopinus sphaerocephalus,Enderleinellus nitzschi,species
anoplura,haematopinus spiculifer,Hoplopleura spiculifer,species
anoplura,haematopinus spiniger,Polyplax spinigera,species
anoplura,haematopinus spinulosus,Polyplax spinulosa,species
anoplura,haematopinus stenopsis,Linognathus stenopsis,species
anoplura,haematopinus stephensi,Polyplax stephensi,species
anoplura,haematopinus suis,,species
anoplura,haematopinus suis adventicus,Haematopinus suis,species
anoplura,haematopinus suis chinensis,Haematopinus suis,species
anoplura,haematopinus suis germanus,Haematopinus suis,species
anoplura,haematopinus suis sardinensis,Haematopinus suis,species
anoplura,haematopinus suis suis,Haematopinus suis,species
anoplura,haematopinus suturalis,Enderleinellus suturalis,species
anoplura,haematopinus taurotragi,,species
anoplura,haematopinus tenuirostris,Linognathus vituli,species
anoplura,haematopinus tibialis,Linognathus tibialis,species
anoplura,haematopinus trichechi,Antarctophthirus trichechi,species
anoplura,haematopinus tuberculatus,,species
anoplura,haematopinus ungulatus,Linognathus angulatus,species
anoplura,haematopinus urius,Haematopinus apri,species
anoplura,haematopinus ventricosus,Haemodipsus ventricosus,species
anoplura,haematopinus vituli,Linognathus vituli,species
anoplura,haemodipsus africanus,,species
anoplura,haemodipsus brachylagi,,species
anoplura,haemodipsus conformalis,,species
anoplura,haemodipsus janckei,Haemodipsus ventricosus,species
anoplura,haemodipsus leporis,,species
anoplura,haemodipsus lyriocephalus,,species
anoplura,haemodipsus parvus,Lagidiophthirus parvus,species
anoplura,haemodipsus setoni,,species
anoplura,haemodipsus ventricosus,,species
anoplura,hamophthirius galeopitheci,,species
anoplura,hamophthirus galeopitheci,Hamophthirius galeopitheci,species
anoplura,hasellus pleurophaeus,Schizophthirus pleurophaeus,species
anoplura,hematopinus polyplax praecisus,Polyplax praecisa,species
anoplura,hoplophthirus euxeri,Enderleinellus euxeri,species
anoplura,hoplopleura abeli,,species
anoplura,hoplopleura abstrusus,,species
anoplura,hoplopleura acanthopus,,species
anoplura,hoplopleura acanthopus acanthopus,Hoplopleura acanthopus,species
anoplura,hoplopleura acanthopus edentulus,Hoplopleura edentula,species
anoplura,hoplopleura aethomydis,,species
anoplura,hoplopleura affinis,,species
anoplura,hoplopleura affinis affinis,Hoplopleura affinis,species
anoplura,hoplopleura affinis argentina,Hoplopleura argentina,species
anoplura,hoplopleura aitkeni,,species
anoplura,hoplopleura akanezumi,Hoplopleura affinis,species
anoplura,hoplopleura alata,Pterophthirus alata,species
anoplura,hoplopleura alstoni,,species
anoplura,hoplopleura alticola,,species
anoplura,hoplopleura andina,,species
anoplura,hoplopleura angulata,,species
anoplura,hoplopleura apomydis,,species
anoplura,hoplopleura arboricola,,species
anoplura,hoplopleura argentina,,species
anoplura,hoplopleura arizonensis,,species
anoplura,hoplopleura audax,Pterophthirus audax,species
anoplura,hoplopleura auliscomydis,,species
anoplura,hoplopleura bidentata,,species
anoplura,hoplopleura bilobata,,species
anoplura,hoplopleura biseriata,,species
anoplura,hoplopleura blanfordi,,species
anoplura,hoplopleura brasiliensis,,species
anoplura,hoplopleura calabyi,,species
anoplura,hoplopleura capensis,,species
anoplura,hoplopleura captiosa,,species
anoplura,hoplopleura chelemydis,,species
anoplura,hoplopleura chilensis,,species
anoplura,hoplopleura chippauxi,,species
anoplura,hoplopleura chrotomydis,,species
anoplura,hoplopleura chrysocomi,,species
anoplura,hoplopleura colomydis,,species
anoplura,hoplopleura confuciana,,species
anoplura,hoplopleura contigua,,species
anoplura,hoplopleura cooki,,species
anoplura,hoplopleura cornata,,species
anoplura,hoplopleura cricetuli,,species
anoplura,hoplopleura cryptica,,species
anoplura,hoplopleura cutchicus,,species
anoplura,hoplopleura delticola,,species
anoplura,hoplopleura dendromuris,,species
anoplura,hoplopleura desmodilli,Hoplopleura capensis,species
anoplura,hoplopleura diaphora,,species
anoplura,hoplopleura difficilis,,species
anoplura,hoplopleura disgrega,,species
anoplura,hoplopleura disgrega chilensis,Hoplopleura chilensis,species
anoplura,hoplopleura disgrega disgrega,Hoplopleura disgrega,species
anoplura,hoplopleura dissicula,,species
anoplura,hoplopleura dissimilis,,species
anoplura,hoplopleura distorta,,species
anoplura,hoplopleura edentula,,species
anoplura,hoplopleura emarginata,Paradoxophthirus emarginata,species
anoplura,hoplopleura emphereia,,species
anoplura,hoplopleura enormis,,species
anoplura,hoplopleura enormis enormis,Hoplopleura enormis,species
anoplura,hoplopleura enormis mylomydis,Hoplopleura mylomydis,species
anoplura,hoplopleura enormis pelomydis,Hoplopleura pelomydis,species
anoplura,hoplopleura erismata,,species
anoplura,hoplopleura erratica,,species
anoplura,hoplopleura erratica arboricola,Hoplopleura arboricola,species
anoplura,hoplopleura erratica erratica,Hoplopleura erratica,species
anoplura,hoplopleura exima,,species
anoplura,hoplopleura fahrenholzi,Hoplopleura acanthopus,species
anoplura,hoplopleura ferrisi,,species
anoplura,hoplopleura ferrisi emphereia,Hoplopleura emphereia,species
anoplura,hoplopleura ferrisi ferrisi,Hoplopleura ferrisi,species
anoplura,hoplopleura fonsecai,,species
anoplura,hoplopleura funambuli,,species
anoplura,hoplopleura griseoflavae,,species
anoplura,hoplopleura gyomydis,,species
