label,pattern,replace,part,author
setae,mesothoracic seta,,thorax,"Kim, 1977"
setae,dorsal preantennal head seta,,head,"Kim, 1977"
setae,posterior central seta,,head,"Kim, 1977"
setae,dorsal principal head seta,,head,"Durden and Musser, 1991"
setae,dorsal posterior central head seta,,head,"Durden and Musser, 1991"
setae,dorsal posterior head seta,,head,"Durden et al., 2019"
setae,dorsal paratergal seta,,abdomen,"Durden and Musser, 1991"
setae,dorsal principal thoracic seta,,thorax,"Kim, 1977"
setae,labral seta,,head,"Kim, 1977"
setae,first marginal seta,,abdomen,"Kim, 1977"
setae,second marginal seta,,abdomen,"Kim, 1977"
setae,marginal seta,,head,"Kim, 1977"
setae,oral marginal seta,,head,"Kim, 1977"
setae,oral seta,,head,"Durden and Musser, 1991"
setae,oral seta,,head,"Kim, 1977"
setae,preantennal seta,,head,"Kim, 1977"
setae,paratergal seta,,abdomen,"Durden and Rausch, 2007"
setae,sutural head seta,,head,"Kim, 1977"
setae,supra-antennal head seta,,head,"Durden and Timm, 2001"
setae,supraantennal head seta,supra-antennal head setae,head,"Durden and Musser, 1991"
setae,sternal abdominal seta,,abdomen,"Durden and Musser, 1991"
setae,sutural head seta,,head,"Durden and Musser, 1991"
setae,tergal abdominal seta,,abdomen,"Durden and Musser, 1991"
setae,ventral central abdominal seta,,abdomen,"Durden and Rausch, 2007"
setae,ventral lateral abdominal seta,,abdomen,"Durden and Eckerlin, 2001"
setae,ventral marginal abdominal seta,,abdomen,"Durden, 2019"
setae,ventral preantennal head seta,,head,"Durden and Musser, 1991"
setae,ventral principal head seta,,head,"Durden and Musser, 1991"
setae,ventral posterior marginal head seta,,head,"Durden and Rausch, 2007"
setae,ventral paratergal seta,,abdomen,"Durden and Musser, 1991"
