label,pattern,replace,rank
anoplura,e. caviae,Galeophthirus caviae,species
anoplura,e. corrugatus,Enderleinellus corrugatus,species
anoplura,e. crucuformis,Eulinognathus crucuformis,species
anoplura,e. denticulatus denticulatus,Eulinognathus denticulatus,species
anoplura,e. denticulatus surdasteri,Eulinognathus denticulatus,species
anoplura,e. denticulatus,Eulinognathus denticulatus,species
anoplura,e. deppei,Enderleinellus deppei,species
anoplura,e. dipodis,Eulinognathus dipodis,species
anoplura,e. disparilis,Enderleinellus disparilis,species
anoplura,e. dolichocephalus,Enderleinellus dolichocephalus,species
anoplura,e. dremomydis,Enderleinellus dremomydis,species
anoplura,e. elateri,Eulinognathus elateri,species
anoplura,e. ellobii,Polyplax ellobii,species
anoplura,e. eremodipodis,Eulinognathus eremodipodis,species
anoplura,e. eropepli,Polyplax eropepli,species
anoplura,e. euchoreutae,Eulinognathus euchoreutae,species
anoplura,e. euchoreutei,Eulinognathus euchoreutae,species
anoplura,e. euxeri,Enderleinellus euxeri,species
anoplura,e. extremus,Enderleinellus extremus,species
anoplura,e. ferrisi,Enderleinellus ferrisi,species
anoplura,e. fluctus,Proechinophthirus fluctus,species
anoplura,e. gambiani,Enderleinellus gambiani,species
anoplura,e. gentilis,Eulinognathus gentilis,species
anoplura,e. gerbilli,Polyplax gerbilli,species
anoplura,e. groenlandicus,Echinophthirius horridus,species
anoplura,e. heliosciuri,Enderleinellus heliosciuri,species
anoplura,e. hepperi,Eulinognathus hepperi,species
anoplura,e. hesperius,Eulinognathus hesperius,species
anoplura,e. hilli,Eulinognathus hilli,species
anoplura,e. hondurensis,Enderleinellus hondurensis,species
anoplura,e. horridus baikalensis,Echinophthirius horridus,species
anoplura,e. horridus erignathi,Echinophthirius horridus,species
anoplura,e. horridus,Echinophthirius horridus,species
anoplura,e. hypogeomydis,Eulinognathus hypogeomydis,species
anoplura,e. inermis,Eulinognathus inermis,species
anoplura,e. insularis,Enderleinellus insularis,species
anoplura,e. jaculi,Eulinognathus jaculi,species
anoplura,e. kaibabensis,Enderleinellus kaibabensis,species
anoplura,e. kelloggi,Enderleinellus kelloggi,species
anoplura,e. krochinae,Enderleinellus krochinae,species
anoplura,e. kumadai,Enderleinellus kumadai,species
anoplura,e. laeviusculus,Linognathoides laeviusculus,species
anoplura,e. larisci,Enderleinellus larisci,species
anoplura,e. larisei,Enderleinellus larisci,species
anoplura,e. lawrensis,Eulinognathus lawrensis,species
anoplura,e. longiceps,Enderleinellus longiceps,species
anoplura,e. lophiomydis,Eulinognathus lophiomydis,species
anoplura,e. malaysianus,Enderleinellus malaysianus,species
anoplura,e. marmotae,Enderleinellus marmotae,species
anoplura,e. maurii,Cuyana maurii,species
anoplura,e. menetensis,Enderleinellus menetensis,species
anoplura,e. mexicanus,Enderleinellus mexicanus,species
anoplura,e. microchir,Antarctophthirus microchir,species
anoplura,e. microsciuri,Enderleinellus microsciuri,species
anoplura,e. minutus,Werneckia minuta,species
anoplura,e. nannosciuri,Enderleinellus nannosciuri,species
anoplura,e. nayaritensis,Enderleinellus nayaritensis,species
anoplura,e. nishimarui,Enderleinellus nishimarui,species
anoplura,e. nitzschi,Enderleinellus nitzschi,species
anoplura,e. oculatus,Enderleinellus oculatus,species
anoplura,e. osborni,Enderleinellus osborni,species
anoplura,e. paralongiceps,Enderleinellus paralongiceps,species
anoplura,e. paraxeri,Werneckia paraxeri,species
anoplura,e. parvus,Lagidiophthirus parvus,species
anoplura,e. patagonicus,Eulinognathus patagonicus,species
anoplura,e. phocae,Echinophthirius horridus,species
anoplura,e. platyspicatus,Enderleinellus platyspicatus,species
anoplura,e. praecisa,Polyplax praecisa,species
anoplura,e. pratti,Enderleinellus pratti,species
anoplura,e. propinquus,Enderleinellus propinquus,species
anoplura,e. puvensis,Enderleinellus puvensis,species
anoplura,e. pygerethmi,Eulinognathus pygerethmi,species
anoplura,e. replicates,Enderleinellus replicates,species
anoplura,e. replicatus,Enderleinellus replicatus,species
anoplura,e. scirtopodae,Eulinognathus scirtopodae,species
anoplura,e. sciurotamiasis,Enderleinellus sciurotamiasis,species
anoplura,e. sericans,Echinophthirius horridus,species
anoplura,e. sericeus,Echinophthirius horridus,species
anoplura,e. setosus,Echinophthirius horridus,species
anoplura,e. spaerocephalus,Enderleinellus nitzschi,species
anoplura,e. sphaerocephalus,Enderleinellus nitzschi,species
anoplura,e. stephensi,Polyplax stephensi,species
anoplura,e. subtaterae,Polyplax subtaterae,species
anoplura,e. suturalis occidentalis,Enderleinellus suturalis,species
anoplura,e. suturalis,Enderleinellus suturalis,species
anoplura,e. tamiasciuri,Enderleinellus tamiasciuri,species
anoplura,e. tamiasis,Enderleinellus tamiasis,species
anoplura,e. tamiopsis,Enderleinellus tamiopsis,species
anoplura,e. tarsomydis,Polyplax tarsomydis,species
anoplura,e. taterae,Polyplax taterae,species
anoplura,e. tokmaki,Eulinognathus tokmaki,species
anoplura,e. torquatus,Eulinognathus torquatus,species
anoplura,e. trispinosa,Hoplopleura trispinosa,species
anoplura,e. uncinatus,Microphthirus uncinatus,species
anoplura,e. urosciuri,Enderleinellus urosciuri,species
anoplura,e. venezuelae,Enderleinellus venezuelae,species
anoplura,e. wernecki,Eulinognathus wernecki,species
anoplura,e. werneri,Polyplax werneri,species
anoplura,e. zonatus,Enderleinellus zonatus,species
anoplura,echinophthirius fluctus,Proechinophthirus fluctus,species
anoplura,echinophthirius groenlandicus,Echinophthirius horridus,species
anoplura,echinophthirius horridus baikalensis,Echinophthirius horridus,species
anoplura,echinophthirius horridus erignathi,Echinophthirius horridus,species
anoplura,echinophthirius horridus,Echinophthirius horridus,species
anoplura,echinophthirius microchir,Antarctophthirus microchir,species
anoplura,echinophthirius phocae,Echinophthirius horridus,species
